date,Close,Open,High,Low,Volume
2014/7/15,"1,451.30","1,307.40","1,312.10","1,294.10",0.37K
2014/7/14,"1,460.70","1,332.80","1,332.80","1,304.70",0.10K
2014/7/11,"1,492.90","1,337.90","1,339.00","1,336.20",0.11K
2014/7/10,"1,494.70","1,330.50","1,343.70","1,328.00",0.03K
2014/7/9,"1,479.70","1,324.00","1,330.40","1,324.00",0.02K
2014/7/8,"1,471.40","1,318.40","1,323.50","1,316.00",0.01K
2014/7/7,"1,472.00","1,319.60","1,320.30","1,313.20",0.09K
2014/7/4,"1,321.30","1,321.10","1,324.00","1,319.60",-
2014/7/3,"1,475.60","1,327.30","1,327.70","1,313.00",0.04K
2014/7/2,"1,484.80","1,326.80","1,330.70","1,326.80",0.23K
2014/7/1,"1,480.20","1,326.70","1,331.40","1,326.20",0.05K
2014/6/30,"1,475.10","1,315.30","1,328.70","1,311.80",0.74K
2014/6/27,"1,319.00","1,317.40","1,320.90","1,313.30",0.63K
2014/6/26,"1,316.10","1,319.60","1,319.60","1,312.40",0.59K
2014/6/25,"1,322.20","1,315.30","1,323.40","1,312.00",0.29K
2014/6/24,"1,320.90","1,315.60","1,325.60","1,315.60",0.22K
2014/6/23,"1,318.00","1,312.30","1,316.90","1,312.30",0.14K
2014/6/20,"1,316.20","1,321.40","1,321.40","1,306.80",0.25K
2014/6/19,"1,313.70","1,277.20","1,321.00","1,277.20",0.60K
2014/6/18,"1,272.40","1,269.90","1,272.70","1,267.40",0.14K
2014/6/17,"1,271.70","1,272.80","1,272.80","1,260.90",0.82K
2014/6/16,"1,274.90","1,279.80","1,283.50","1,270.80",0.33K
2014/6/13,"1,273.70","1,272.50","1,274.70","1,271.30",0.15K
2014/6/12,"1,273.60","1,260.00","1,274.50","1,260.00",0.13K
2014/6/11,"1,260.80","1,259.90","1,264.40","1,259.10",0.13K
2014/6/10,"1,259.80","1,252.40","1,262.30","1,251.00",1.01K
2014/6/9,"1,253.50","1,252.70","1,256.10","1,251.80",0.10K
2014/6/6,"1,252.10","1,253.40","1,256.60","1,246.30",0.38K
2014/6/5,"1,253.00","1,244.00","1,256.60","1,241.20",1.32K
2014/6/4,"1,244.00","1,245.10","1,248.80","1,242.70",0.60K
2014/6/3,"1,244.30","1,244.10","1,247.50","1,240.50",0.65K
2014/6/2,"1,243.70","1,250.00","1,250.70","1,240.90",0.77K
2014/5/30,"1,245.60","1,255.10","1,259.60","1,241.80",3.84K
2014/5/29,"1,256.30","1,258.30","1,260.60","1,250.90",38.05K
