date,Close,Open,High,Low,Volume
2013/8/21,130.81,131.28,131.41,130.22,385.77K
2013/8/20,131.34,130.44,131.41,130.41,276.00K
2013/8/19,130.38,131.09,131.09,130.16,266.05K
2013/8/16,131.03,131.81,131.94,130.53,342.21K
2013/8/15,132.06,132.69,132.88,131.03,405.47K
2013/8/14,132.62,132.56,132.94,132.44,214.13K
2013/8/13,132.62,133.84,133.91,132.38,352.54K
2013/8/12,134.12,134.44,135.06,133.78,242.71K
2013/8/9,134.44,134.25,134.56,133.94,179.03K
2013/8/8,134.28,133.88,134.62,133.75,284.43K
2013/8/7,133.91,133.22,134.12,133.19,251.58K
2013/8/6,133.16,133.25,133.41,132.78,172.55K
2013/8/5,133.19,133.75,133.88,132.81,199.62K
2013/8/2,133.72,132.34,133.81,131.78,381.77K
2013/8/1,132.03,134.19,134.22,132,355.30K
2013/7/31,134.06,133.75,134.41,132.41,443.95K
2013/7/30,133.91,133.94,134.44,133.69,182.08K
2013/7/29,134.16,134.69,134.97,133.81,201.65K
2013/7/26,134.72,134.28,134.97,134.19,193.98K
2013/7/25,134,134.22,134.41,133.56,287.86K
2013/7/24,134.09,135.25,135.25,133.5,293.02K
2013/7/23,135.06,135.62,135.69,134.75,209.98K
2013/7/22,135.5,135.59,136,135.44,186.09K
2013/7/19,135.5,134.69,135.75,134.53,195.44K
2013/7/18,134.66,135.25,135.69,134.44,290.26K
2013/7/17,135.34,134.97,135.88,134.53,336.83K
2013/7/16,134.97,134.81,135.25,134.53,242.04K
2013/7/15,134.59,134.22,134.88,133.41,206.69K
2013/7/12,133.94,134.12,135.03,133.88,263.95K
2013/7/11,134.22,133.62,134.81,133.62,351.56K
2013/7/10,132.88,133.5,133.81,132.66,273.10K
2013/7/9,133.47,133.66,133.78,133.25,206.22K
2013/7/8,133.5,132.44,133.66,132.06,266.87K
2013/7/5,132.66,135.47,136,132.12,427.39K
2013/7/4,135.3,135.51,135.99,135.11,-
2013/7/3,135.56,135.91,136.84,135.28,222.24K
2013/7/2,135.97,135.94,136.34,135.62,247.11K
2013/7/1,135.75,135.66,136.03,134.88,256.52K
2013/6/28,135.84,135.88,136.12,134.62,388.56K
2013/6/27,135.59,135.06,136,134.66,324.07K
2013/6/26,134.97,134.03,135.31,133.62,358.76K
2013/6/25,134.16,135,135.69,133.78,410.21K
2013/6/24,134.81,134.81,135.16,133.12,533.17K
2013/6/21,135.03,136.19,136.72,134.44,517.51K
2013/6/20,136.12,137.56,137.72,135.62,692.57K
2013/6/19,139.91,140.41,140.81,139.97,8.50K
2013/6/18,140.56,140.5,140.78,139.94,3.03K
2013/6/17,140.53,141.06,141.59,140.38,2.50K
2013/6/14,141.31,141.06,141.84,141.06,2.15K
2013/6/13,140.72,139.94,141.34,139.78,2.24K
2013/6/12,139.78,140.59,140.84,139.69,2.62K
2013/6/11,140.34,140,140.72,138.84,5.54K
2013/6/10,139.94,140.53,140.81,139.72,6.74K
2013/6/7,140.78,142,142.59,140.31,15.11K
2013/6/6,142.12,141.81,143.34,141.25,14.56K
2013/6/5,141.62,140.78,142.25,140.78,31.24K
2013/6/4,141.09,141.59,141.69,140.78,26.73K
2013/6/3,141.31,141.22,142.41,140.44,69.16K
2013/5/31,141.06,141.66,142.41,140.12,166.90K
2013/5/30,141.5,141.72,142.03,141.09,592.63K
2013/5/29,141.62,140.78,141.81,139.91,951.55K
2013/5/28,141.25,143.28,143.41,140.5,886.49K
2013/5/27,142.18,142.3,142.47,142.05,-
2013/5/24,143.38,143.03,143.84,142.72,448.33K
2013/5/23,143,142.69,144.09,142.28,740.25K
2013/5/22,142.84,144.38,145.09,142.59,851.73K
2013/5/21,144.09,143.72,144.47,143.25,546.74K
2013/5/20,143.75,144.03,144.53,143.56,388.29K
2013/5/17,143.97,145.16,145.53,143.84,441.74K
2013/5/16,145.44,144.25,145.56,143.91,503.70K
2013/5/15,144.19,143.66,144.59,143.5,487.99K
2013/5/14,144.06,144.69,145.12,143.5,433.91K
2013/5/13,144.62,144.75,145.12,144.19,422.38K
2013/5/10,145,146.53,146.69,144.53,613.27K
2013/5/9,146.5,146.56,147.38,146.38,482.43K
2013/5/8,146.72,146.34,146.94,146,369.20K
2013/5/7,146.25,146.66,146.97,146.19,306.15K
2013/5/6,146.5,147.16,147.25,146.41,274.82K
2013/5/3,147.06,149.31,149.41,146.84,601.61K
2013/5/2,149.19,149.22,149.38,148.56,390.27K
2013/5/1,149.12,148.44,149.66,148.28,327.59K
2013/4/30,148.38,148.5,149.16,148.28,398.21K
2013/4/29,148.59,148.72,149.16,148.38,263.42K
2013/4/26,148.88,147.94,148.91,147.84,333.11K
2013/4/25,147.94,148.03,148.19,147.62,292.22K
2013/4/24,148.19,147.91,148.28,147.56,334.31K
2013/4/23,148.09,148.16,149.19,147.84,523.05K
2013/4/22,148.16,148.03,148.59,147.47,336.64K
2013/4/19,148.12,148.41,148.44,147.88,329.64K
2013/4/18,148.44,148.09,148.5,147.59,416.05K
2013/4/17,147.97,147.53,148.62,147.41,438.43K
2013/4/16,147.62,148.28,148.44,147.34,352.70K
2013/4/15,147.94,147.47,148.44,147.16,411.32K
2013/4/12,147.53,146.19,147.59,146.16,407.04K
2013/4/11,146.22,145.94,146.41,145.81,380.43K
2013/4/10,145.94,146.94,147.06,145.81,422.89K
