date,Close,Open,High,Low,Volume
2013/2/11,80.389,80.275,80.475,80.17,29.30K
2013/2/8,80.316,80.3,80.35,80.01,25.10K
2013/2/7,80.257,79.805,80.345,79.58,46.43K
2013/2/6,79.767,79.555,79.93,79.53,25.29K
2013/2/5,79.533,79.65,79.815,79.49,31.43K
2013/2/4,79.573,79.175,79.64,79.17,27.26K
2013/2/1,79.135,79.14,79.325,78.915,43.79K
2013/1/31,79.226,79.275,79.4,79.16,30.05K
2013/1/30,79.326,79.625,79.665,79.21,35.29K
2013/1/29,79.624,79.85,79.935,79.575,21.06K
2013/1/28,79.868,79.84,79.995,79.785,19.55K
2013/1/25,79.82,80.08,80.175,79.745,28.05K
2013/1/24,80.007,80.05,80.225,79.925,18.94K
2013/1/23,79.99,79.94,80.22,79.765,18.76K
2013/1/22,79.973,80.185,80.19,79.785,24.74K
2013/1/21,80.116,80.16,80.185,79.995,9.90K
2013/1/18,80.116,79.76,80.275,79.71,26.10K
2013/1/17,79.711,79.8,79.95,79.615,25.25K
2013/1/16,79.854,79.765,79.95,79.66,21.23K
2013/1/15,79.832,79.54,79.94,79.435,33.21K
2013/1/14,79.54,79.535,79.71,79.405,25.94K
2013/1/11,79.611,79.86,79.93,79.49,30.22K
2013/1/10,79.817,80.75,80.79,79.745,38.46K
2013/1/9,80.677,80.51,80.75,80.45,27.72K
2013/1/8,80.445,80.31,80.57,80.22,15.52K
2013/1/7,80.369,80.61,80.8,80.335,36.59K
2013/1/4,80.61,80.77,80.995,80.52,40.39K
2013/1/3,80.515,79.93,80.595,79.92,33.63K
2013/1/2,79.948,79.62,80.03,79.46,18.90K
2012/12/31,79.871,79.735,79.96,79.69,11.78K
2012/12/28,79.785,79.725,80.05,79.685,15.29K
2012/12/27,79.719,79.64,79.89,79.42,15.35K
2012/12/26,79.704,79.735,79.81,79.47,9.97K
2012/12/24,79.745,79.7,79.8,79.445,8.26K
2012/12/21,79.712,79.375,79.735,79.34,22.72K
2012/12/20,79.31,79.405,79.43,79.065,21.97K
2012/12/19,79.313,79.38,79.405,79.015,31.55K
2012/12/18,79.387,79.62,79.65,79.29,21.58K
2012/12/17,79.513,79.59,79.675,79.49,2.24K
2012/12/14,79.56,79.955,79.97,79.495,13.37K
2012/12/13,79.913,79.9,80.035,79.785,19.36K
2012/12/12,79.81,80.07,80.11,79.365,45.36K
2012/12/11,80.054,80.32,80.37,80,17.27K
2012/12/10,80.33,80.54,80.57,80.27,19.74K
2012/12/7,80.402,80.27,80.975,80.225,32.25K
2012/12/6,80.253,79.865,80.32,79.725,25.64K
2012/12/5,79.764,79.62,79.845,79.565,17.87K
2012/12/4,79.634,79.885,79.92,79.59,21.33K
2012/12/3,79.872,80.195,80.215,79.78,23.56K
2012/11/30,80.163,80.195,80.34,80.03,15.93K
